time_ms,label,ax,ay,az,gx,gy,gz
606,2,-2328,14956,388,-435,-23,-306
616,2,-2264,14968,428,-397,62,-233
626,2,-2084,14928,420,-361,166,-184
636,2,-2184,14744,408,-267,264,-155
646,2,-2328,14896,240,-199,329,-127
656,2,-2636,14832,284,-126,296,-75
666,2,-2912,14944,284,-90,138,-13
676,2,-3056,14884,252,-84,-72,58
686,2,-3088,14904,220,-76,-284,127
696,2,-3168,15008,144,-58,-457,221
706,2,-3032,14916,148,-14,-601,284
716,2,-2912,15044,140,31,-686,387
726,2,-2832,15208,108,89,-710,487
736,2,-2916,15424,208,150,-780,497
746,2,-2960,15580,120,203,-864,539
756,2,-3028,15728,356,248,-935,559
766,2,-3060,15876,548,293,-1051,533
776,2,-3000,16024,768,334,-1151,466
786,2,-3160,16104,660,321,-1290,397
796,2,-3028,16216,812,329,-1405,300
806,2,-2960,16268,964,324,-1453,213
816,2,-2808,16260,1092,319,-1418,115
826,2,-2672,16280,1052,323,-1304,26
836,2,-2588,16308,1156,323,-1111,-84
846,2,-2568,16260,1296,320,-914,-201
856,2,-2504,16304,1416,310,-668,-289
866,2,-2424,16188,1396,265,-385,-366
876,2,-2452,16096,1492,252,-108,-416
886,2,-2544,16112,1556,166,172,-478
896,2,-2196,15936,2140,49,499,-513
906,2,-2000,15976,2376,-38,944,-537
916,2,-2204,16044,2640,-95,1370,-630
926,2,-2760,16360,2440,-176,1571,-707
936,2,-3308,16516,2640,-351,1712,-762
946,2,-3624,16588,2496,-546,1825,-811
956,2,-3824,16344,2364,-726,1925,-893
966,2,-4076,16224,2248,-902,1977,-1018
976,2,-4548,16424,2316,-1053,1996,-1141
986,2,-4716,16676,2336,-1246,1942,-1287
996,2,-4852,16616,2068,-1418,1826,-1392
1006,2,-5092,16360,2124,-1598,1675,-1549
1016,2,-5148,16184,1920,-1737,1461,-1752
1026,2,-5032,16116,2008,-1849,1393,-1869
1036,2,-4656,16120,1772,-1940,1320,-2081
1046,2,-4400,16040,1696,-2036,1330,-2257
1056,2,-4052,15848,1840,-2058,1532,-2375
1066,2,-3900,15768,1928,-2098,1816,-2464
1076,2,-4028,15612,1840,-2106,2079,-2504
1086,2,-4624,15264,1900,-2059,2259,-2460
1096,2,-5220,15252,1892,-1980,2316,-2401
1106,2,-5476,14864,1752,-1934,2193,-2398
1116,2,-5672,15156,1888,-1943,1863,-2503
1126,2,-5808,15292,1952,-2017,1491,-2620
1136,2,-5540,15288,1944,-2099,1143,-2666
1146,2,-5136,15112,2104,-2117,1074,-2608
1156,2,-5136,15008,2016,-2182,916,-2920
1166,2,-5376,14980,1864,-2199,707,-3173
1176,2,-5212,14800,1736,-2141,690,-3259
1186,2,-5392,14852,1592,-2034,821,-3281
1196,2,-5348,15076,1176,-1928,930,-3352
1206,2,-5572,15456,1296,-1867,948,-3478
1216,2,-5584,15576,1572,-1790,943,-3522
1226,2,-5660,15468,1068,-1768,891,-3501
1236,2,-5864,15540,904,-1723,808,-3481
1246,2,-5648,15336,948,-1579,781,-3411
1256,2,-5640,14904,1008,-1466,680,-3328
1266,2,-5732,14468,1264,-1346,654,-3235
1276,2,-5360,14144,1360,-1313,528,-3091
1286,2,-5376,14048,1684,-1327,364,-2999
