time_ms,label,ax,ay,az,gx,gy,gz
596,2,-976,13100,840,-344,339,-1168
606,2,-1132,12636,620,-237,233,-1082
616,2,-1264,12384,720,-184,124,-1006
626,2,-1600,12372,784,-166,-93,-1103
636,2,-1664,12204,952,-68,-264,-960
646,2,-1920,12284,1024,-18,-266,-755
656,2,-1732,12412,988,18,-196,-530
666,2,-1896,12780,1096,36,-144,-258
676,2,-1904,12924,1152,40,-80,-14
686,2,-2024,13284,1172,82,-3,270
696,2,-2300,13644,968,159,47,546
706,2,-2736,14124,1108,212,-9,799
716,2,-3188,14692,1652,304,-179,1014
726,2,-3364,15360,1520,390,-409,1270
736,2,-3676,15868,1808,455,-772,1509
746,2,-3732,16432,2020,538,-1198,1719
756,2,-3904,16940,2400,636,-1615,1933
766,2,-3776,17412,2588,732,-2008,2093
776,2,-3732,17948,2976,777,-2433,2236
786,2,-3668,18380,3188,808,-2919,2276
796,2,-3664,18664,3576,809,-3267,2266
806,2,-3152,18528,3640,783,-3571,2154
816,2,-2736,18336,3620,745,-3666,1941
826,2,-1888,18068,3604,683,-3495,1711
836,2,-952,17900,3576,645,-2916,1429
846,2,-220,17440,3520,679,-2185,1173
856,2,340,16844,3300,753,-1314,1006
866,2,84,16188,3324,817,-522,805
876,2,-376,15588,2948,860,-21,532
886,2,-856,15080,2976,840,203,305
896,2,-1224,14456,3064,768,270,118
906,2,-1668,13964,2860,657,110,7
916,2,-1972,13592,2904,565,-148,-29
926,2,-2416,13188,2808,477,-490,-77
936,2,-2552,13144,2508,372,-900,-161
946,2,-2440,12868,2468,279,-1267,-182
956,2,-2136,12672,2344,227,-1402,-117
966,2,-2032,12672,2156,186,-1406,-80
976,2,-1792,12792,2032,89,-1365,-119
986,2,-1856,12964,1896,21,-1297,-148
996,2,-1956,13252,1832,-35,-1236,-197
1006,2,-2124,13668,1472,-89,-1251,-238
1016,2,-2636,13928,1192,-142,-1329,-248
1026,2,-2788,14540,1060,-186,-1451,-224
1036,2,-2936,14964,1024,-218,-1525,-101
1046,2,-2840,15888,1064,-269,-1479,61
1056,2,-2792,16848,1120,-351,-1575,37
1066,2,-2464,17484,1244,-334,-1643,-40
1076,2,-1888,17596,1316,-343,-1499,50
1086,2,-1464,18188,1280,-278,-1133,22
1096,2,-1868,18844,1308,-296,-1121,-622
1106,2,-1720,18744,1504,-231,-1247,-1082
1116,2,-1264,18460,1880,-202,-1045,-979
1126,2,-700,18376,2048,-121,-703,-755
1136,2,-156,18292,2180,-85,-562,-588
1146,2,264,18084,2272,-124,-589,-592
1156,2,516,17852,2260,-294,-763,-779
1166,2,952,17468,2268,-447,-1014,-1003
1176,2,1380,16904,2268,-498,-1137,-984
1186,2,1488,16640,1816,-549,-1101,-802
1196,2,1168,16636,1820,-619,-1090,-654
1206,2,784,16556,1488,-731,-1230,-602
1216,2,472,16524,1336,-817,-1459,-497
1226,2,316,16324,1108,-911,-1642,-316
1236,2,452,16200,1216,-1005,-1697,-190
1246,2,640,16012,1084,-1033,-1492,-98
1256,2,896,15608,1168,-1046,-1107,-49
1266,2,848,15236,1032,-1009,-569,-59
1276,2,696,14944,892,-967,28,-105
1286,2,676,14592,884,-895,754,-183
1296,2,552,14368,668,-818,1351,-345
1306,2,100,14108,564,-750,1725,-518
1316,2,-536,13920,392,-693,1977,-623
