time_ms,label,ax,ay,az,gx,gy,gz
646,2,-2452,16052,1044,-184,1515,-823
656,2,-2336,15864,1188,-231,1260,-993
666,2,-2180,15864,1252,-274,1099,-1154
676,2,-1860,15760,1452,-322,1006,-1204
686,2,-1764,15600,1392,-373,1063,-1199
696,2,-1708,15408,1444,-375,1159,-1177
706,2,-1852,15340,1212,-342,1214,-1109
716,2,-2188,15256,972,-285,1131,-1021
726,2,-2404,15064,1120,-278,890,-916
736,2,-2556,14916,1236,-251,559,-781
746,2,-2588,14784,1080,-245,61,-612
756,2,-2504,14864,1184,-293,-504,-412
766,2,-2008,14828,1252,-344,-985,-189
776,2,-1528,14796,1464,-378,-1366,51
786,2,-996,14920,1500,-409,-1682,250
796,2,-648,14896,1588,-466,-1867,434
806,2,-404,15172,1616,-470,-1934,576
816,2,-268,15400,1532,-481,-1910,688
826,2,-248,15484,1460,-490,-1815,745
836,2,-488,15616,1384,-473,-1783,756
846,2,-636,15424,1348,-488,-1782,736
856,2,-792,15416,820,-449,-1759,688
866,2,-944,15796,1096,-435,-1757,608
876,2,-856,15856,1108,-400,-1740,539
886,2,-896,15912,1008,-359,-1724,480
896,2,-756,16000,1020,-341,-1665,385
906,2,-576,16008,1024,-302,-1527,304
916,2,-464,15920,1100,-235,-1258,193
926,2,-224,15952,1096,-184,-955,119
936,2,-292,15956,1052,-113,-628,60
946,2,-336,15884,1064,-44,-344,-52
956,2,-508,15868,1180,18,-119,-140
966,2,-644,15964,1204,63,44,-208
976,2,-900,15892,1236,90,155,-250
986,2,-904,15780,1156,92,217,-261
996,2,-932,15800,1204,134,288,-285
1006,2,-892,15760,1316,122,317,-292
1016,2,-960,15636,1380,134,366,-306
1026,2,-1028,15684,1488,118,381,-309
1036,2,-1116,15692,1572,119,416,-323
1046,2,-992,15476,1504,121,452,-316
1056,2,-1152,15444,1728,119,497,-294
1066,2,-1260,15596,1760,116,480,-279
1076,2,-1288,15576,1796,89,391,-236
1086,2,-1188,15604,1800,70,292,-217
1096,2,-1368,15548,1824,66,201,-175
1106,2,-1504,15472,1856,80,55,-125
1116,2,-1464,15572,1872,72,-94,-99
1126,2,-1516,15468,1772,67,-236,-46
1136,2,-1460,15560,1876,46,-387,5
1146,2,-1524,15432,2000,38,-481,35
1156,2,-1336,15504,1940,58,-531,69
1166,2,-1276,15588,1700,40,-572,81
1176,2,-1320,15520,1700,27,-587,116
1186,2,-1472,15552,1712,7,-597,122
1196,2,-1328,15636,1464,4,-609,140
1206,2,-1460,15632,1540,3,-631,155
1216,2,-1432,15604,1452,-9,-639,155
1226,2,-1232,15600,1508,-14,-652,172
1236,2,-1444,15760,1280,-10,-667,160
1246,2,-1304,15696,1396,-3,-672,152
1256,2,-1328,15716,1516,5,-654,147
1266,2,-1260,15864,1200,-5,-639,123
1276,2,-1184,15860,1328,-2,-583,103
1286,2,-1076,15768,1284,-6,-575,61
1296,2,-1124,15876,1516,-23,-524,44
1306,2,-1180,15948,1544,-36,-518,14
1316,2,-1144,15852,1360,-53,-550,-25
1326,2,-968,15960,1408,-85,-551,-61
1336,2,-968,15844,1496,-101,-542,-93
1346,2,-832,15852,1380,-116,-530,-117
1356,2,-840,15752,1408,-133,-520,-125
1366,2,-872,15824,1416,-150,-498,-139
1376,2,-816,15968,1548,-157,-463,-141
1386,2,-876,15912,1388,-174,-410,-150
1396,2,-856,15952,1344,-170,-393,-160
1406,2,-784,15880,1420,-188,-358,-167
1416,2,-760,15700,1212,-180,-285,-172
1426,2,-744,15704,1348,-175,-219,-167
1436,2,-872,15736,1120,-173,-176,-149
1446,2,-860,15876,1144,-169,-134,-135
1456,2,-996,16076,1124,-173,-119,-97
1466,2,-1016,16260,1116,-177,-116,-55
1476,2,-1068,16420,1056,-203,-109,20
1486,2,-1140,16476,1084,-232,-62,67
1496,2,-1080,16560,1072,-246,-11,113
1506,2,-1000,16484,1000,-286,82,143
1516,2,-1076,16236,848,-321,161,128
1526,2,-988,15960,792,-358,250,106
1536,2,-892,15840,996,-399,334,72
1546,2,-792,15892,848,-436,430,38
1556,2,-828,15972,880,-463,512,28
1566,2,-780,15992,1072,-519,574,-6
1576,2,-628,16092,1296,-561,638,-38
1586,2,-440,16132,1152,-605,727,-62
1596,2,-384,15924,984,-638,861,-93
1606,2,-384,16072,1004,-649,1020,-122
1616,2,-356,16040,1020,-643,1179,-153
1626,2,-428,15892,1024,-654,1316,-193
1636,2,-420,15804,1060,-594,1441,-215
1646,2,-532,15644,1044,-535,1569,-212
1656,2,-924,15676,1124,-402,1563,-160
1666,2,-1784,15644,1448,-208,1358,-41
1676,2,-2068,15764,2336,5,1228,86
1686,2,-1716,16168,3332,175,1377,136
1696,2,-780,16616,3736,307,1827,69
1706,2,208,16688,4680,424,2336,-136
1716,2,864,16844,4452,420,2893,-333
1726,2,488,16676,3828,242,3037,-594
1736,2,-1064,16556,3620,-25,2613,-819
1746,2,-3680,16508,3424,-201,1754,-987
1756,2,-6068,16604,3428,-445,451,-1104
1766,2,-7184,16616,4296,-761,-975,-1240
1776,2,-6368,16576,5748,-1064,-2140,-1395
1786,2,-4224,16604,6712,-1447,-2624,-1501
1796,2,-1844,16788,6848,-1657,-2229,-1643
1806,2,-856,16912,6992,-1735,-920,-1808
1816,2,-1448,16924,6972,-1664,733,-1998
1826,2,-3148,16912,6800,-1697,1920,-2267
1836,2,-4716,16908,6292,-1840,2257,-2568
1846,2,-5448,16628,5984,-2058,2119,-2804
1856,2,-5844,16576,5684,-2268,1829,-2945
1866,2,-5644,16144,5604,-2507,1532,-3046
1876,2,-5320,15732,5276,-2715,1275,-3213
1886,2,-5116,15312,5316,-2878,1178,-3393
1896,2,-5032,14948,4896,-2987,1113,-3595
1906,2,-4948,14448,4492,-3042,1056,-3706
1916,2,-5228,14144,4268,-3080,880,-3751
1926,2,-5324,13544,3808,-3089,678,-3716
1936,2,-4960,13388,3368,-3074,503,-3645
1946,2,-4584,13224,2992,-3031,416,-3337
1956,2,-4944,13040,2700,-2923,323,-3342
1966,2,-4992,13256,2260,-2975,-122,-3345
1976,2,-4464,13216,1388,-2907,-339,-3249
1986,2,-4044,13232,1108,-2813,-463,-3200
