time_ms,label,ax,ay,az,gx,gy,gz
596,2,-888,15468,1820,-646,-1134,527
606,2,-840,15408,1844,-630,-1075,436
616,2,-712,15360,1760,-603,-993,348
626,2,-564,15260,1760,-603,-912,271
636,2,-484,15092,1880,-572,-802,205
646,2,-528,14952,1792,-570,-691,146
656,2,-560,14748,1536,-546,-555,98
666,2,-708,14592,1660,-509,-465,29
676,2,-752,14444,1504,-472,-364,1
686,2,-948,14296,1264,-438,-254,2
696,2,-1024,14236,1416,-377,-201,32
706,2,-1240,14184,1504,-344,-222,51
716,2,-1504,13976,1540,-313,-319,85
726,2,-1608,14048,1724,-259,-468,148
736,2,-1604,14344,1752,-230,-653,208
746,2,-1616,14372,1792,-227,-843,260
756,2,-1536,14496,1936,-227,-982,283
766,2,-1144,14728,2104,-207,-1039,313
776,2,-704,14780,2224,-208,-1019,334
786,2,-300,15008,2200,-189,-867,315
796,2,-176,15252,2312,-187,-703,295
806,2,-296,15536,2436,-200,-602,231
816,2,-468,15576,2572,-200,-509,207
826,2,-492,15628,2644,-241,-426,176
836,2,-464,15808,2796,-248,-361,134
846,2,-372,15960,2704,-269,-356,89
856,2,-364,16000,2752,-287,-378,31
866,2,-492,16064,2524,-328,-412,-45
876,2,-380,16012,2752,-407,-500,-194
886,2,-248,15736,2376,-379,-491,-191
896,2,-236,15712,2420,-378,-404,-208
906,2,-68,15488,2268,-381,-318,-208
916,2,-140,15512,2152,-348,-237,-262
926,2,-136,15452,2000,-336,-147,-296
936,2,-48,15388,2092,-325,-48,-332
946,2,-200,15284,1840,-282,30,-331
956,2,-220,15188,1712,-266,65,-347
966,2,-292,15088,1732,-211,79,-353
976,2,-228,15192,1652,-174,79,-307
986,2,-464,15176,1748,-152,38,-329
996,2,-516,15300,1744,-133,-45,-362
1006,2,-368,15236,1736,-110,-115,-352
1016,2,-468,15392,1944,-73,-132,-310
1026,2,-516,15460,1956,-54,-162,-283
1036,2,-476,15548,2112,-31,-169,-267
1046,2,-476,15524,2192,-12,-102,-269
1056,2,-324,15432,2388,44,9,-198
1066,2,-460,15504,2224,79,181,-121
1076,2,-752,15784,2276,68,232,-203
1086,2,-888,15712,2168,36,173,-209
1096,2,-1096,15640,2344,35,118,-218
1106,2,-1068,15672,2536,12,47,-216
1116,2,-1076,15668,2436,11,-28,-209
1126,2,-1016,15624,2480,9,-55,-191
1136,2,-988,15568,2516,-13,-81,-191
1146,2,-984,15636,2444,-12,-98,-210
1156,2,-912,15624,2384,-32,-136,-238
1166,2,-924,15504,2416,-65,-143,-232
1176,2,-808,15632,2124,-59,-160,-205
1186,2,-912,15664,2160,-59,-175,-187
1196,2,-888,15700,2012,-59,-159,-173
1206,2,-788,15632,2052,-27,-162,-170
1216,2,-792,15644,2080,-4,-150,-156
1226,2,-664,15548,2032,16,-125,-167
1236,2,-572,15424,1912,63,-84,-128
1246,2,-556,15404,1760,124,-59,-102
1256,2,-716,15580,1716,162,-38,-60
1266,2,-648,15744,1772,203,-31,-35
1276,2,-808,15676,1608,245,-46,32
