time_ms,label,ax,ay,az,gx,gy,gz
616,2,-1576,15812,452,-90,1316,795
626,2,-1764,15688,544,-129,1108,795
636,2,-1892,15900,676,-150,909,811
646,2,-1740,15808,540,-210,789,879
656,2,-1452,15920,372,-244,732,953
666,2,-1200,15760,436,-288,750,906
676,2,-900,15612,356,-337,863,848
686,2,-584,15500,260,-343,1033,767
696,2,-540,15404,352,-271,1337,723
706,2,-740,15376,432,-185,1602,675
716,2,-948,15516,428,-129,1735,656
726,2,-1128,15676,308,-110,1812,609
736,2,-1100,15844,388,-88,1734,581
746,2,-1152,15720,92,-47,1641,588
756,2,-1212,15796,48,17,1490,617
766,2,-1160,15844,52,25,1178,506
776,2,-844,16044,36,19,922,459
786,2,-656,16072,-24,3,691,411
796,2,-668,16180,200,-18,486,403
806,2,-624,16204,92,-55,370,422
816,2,-308,16388,388,-104,316,422
826,2,-248,16504,180,-106,307,454
836,2,-200,16972,-16,-143,341,488
846,2,-144,16720,-124,-155,376,485
856,2,-360,16820,-164,-118,409,489
866,2,-536,17020,-236,-124,432,484
876,2,-480,17340,-496,-132,374,495
886,2,-680,17508,-604,-154,225,446
896,2,-368,17680,-860,-178,59,403
906,2,-184,17684,-1016,-201,-59,399
916,2,-24,17720,-1060,-201,-141,363
926,2,92,17704,-1220,-179,-209,273
936,2,208,17628,-1180,-145,-202,183
946,2,208,17328,-1016,-108,-205,26
956,2,168,17008,-988,-74,-218,-137
966,2,284,16480,-884,-5,-96,-272
976,2,-28,16152,-992,79,16,-473
986,2,-428,16024,-928,163,-2,-699
996,2,-764,15784,-988,234,-184,-917
1006,2,-792,15464,-844,291,-406,-1061
1016,2,-532,15160,-976,356,-620,-1082
1026,2,-428,15176,-1020,405,-746,-1045
1036,2,-376,15428,-868,404,-698,-1009
1046,2,464,15440,-792,388,-572,-845
1056,2,1040,15708,-456,417,-354,-727
1066,2,948,16000,-632,466,49,-725
1076,2,580,16104,-628,482,355,-685
1086,2,276,16188,-768,441,483,-621
1096,2,12,16160,-936,446,437,-610
1106,2,-164,15748,-1164,402,272,-647
1116,2,-152,15548,-1120,386,39,-728
1126,2,-200,15224,-912,340,-184,-905
1136,2,-380,15004,-1124,365,-483,-1110
1146,2,-500,15060,-1124,337,-850,-1369
1156,2,-628,14880,-1284,288,-1261,-1578
1166,2,-520,14896,-1496,238,-1721,-1683
1176,2,-172,15024,-1408,154,-1868,-1751
1186,2,556,15088,-1136,59,-1747,-1760
