time_ms,label,ax,ay,az,gx,gy,gz
586,2,-5284,13168,2840,1530,1624,3884
596,2,-5392,13300,2836,1747,2001,3912
606,2,-5940,13576,2620,1876,2167,3884
616,2,-6316,13744,2584,1980,1929,3907
626,2,-6276,13448,1984,2122,1578,3804
636,2,-6148,13464,1776,2163,1211,3828
646,2,-6100,13708,1708,2222,1008,3943
656,2,-6116,14052,1376,2318,842,3977
666,2,-6008,14328,1488,2368,569,3945
676,2,-5952,14556,1708,2323,393,3857
686,2,-5732,14908,2064,2215,130,3632
696,2,-5304,15064,2284,2079,-15,3367
706,2,-4628,14908,2164,2037,73,3205
716,2,-4196,15132,2760,1984,623,3051
726,2,-4004,14852,2936,1979,1339,3019
736,2,-4392,15252,3208,2059,1691,2912
746,2,-5572,15564,2828,2028,1497,2602
756,2,-6244,15580,2420,1908,626,2328
766,2,-6284,15464,2160,1778,-119,2284
776,2,-6096,15632,2312,1633,-585,2354
786,2,-5852,15664,2264,1543,-908,2363
796,2,-5652,15796,2180,1432,-1246,2263
806,2,-5060,15944,1940,1338,-1320,2208
816,2,-4484,15936,2136,1293,-982,2121
826,2,-3908,15956,2380,1232,-546,2024
836,2,-4016,16144,2448,1194,-197,1903
846,2,-3932,16268,2344,1156,84,1729
856,2,-4284,16468,2396,1078,153,1544
866,2,-4344,16572,2468,942,24,1307
876,2,-4588,16508,2308,785,-179,1106
886,2,-4328,16544,2336,586,-410,905
896,2,-4148,16704,2524,402,-672,675
906,2,-3760,16632,2316,217,-904,475
916,2,-3336,16572,2360,58,-990,327
926,2,-2864,16388,2428,-59,-918,218
936,2,-2552,16456,2404,-157,-772,135
946,2,-2492,16380,2140,-246,-621,44
956,2,-2300,16296,2144,-365,-547,-51
966,2,-2448,16124,1908,-448,-530,-191
976,2,-2508,16224,1572,-537,-611,-296
986,2,-2448,16020,1560,-603,-667,-341
996,2,-2244,15868,1204,-639,-704,-418
1006,2,-2156,15816,1272,-648,-754,-414
1016,2,-2204,15616,1056,-637,-739,-380
1026,2,-2000,15432,1140,-629,-671,-343
1036,2,-2008,15464,1080,-572,-544,-318
1046,2,-2184,15396,880,-521,-408,-274
1056,2,-2360,15168,976,-477,-307,-245
1066,2,-2532,15184,968,-407,-292,-207
1076,2,-2736,15264,940,-345,-279,-156
1086,2,-2736,15268,816,-304,-285,-122
1096,2,-3004,15336,1000,-260,-367,-83
1106,2,-3084,15356,1032,-237,-550,-58
1116,2,-3084,15408,1004,-216,-714,-24
1126,2,-3088,15428,848,-174,-867,-2
1136,2,-3056,15348,1212,-162,-972,23
1146,2,-2952,15348,1172,-136,-956,52
1156,2,-2756,15316,1144,-96,-898,82
1166,2,-2692,15324,1288,-57,-795,89
1176,2,-2532,15420,1312,-11,-623,87
1186,2,-2632,15340,1352,46,-538,75
1196,2,-2824,15468,1328,33,-476,82
1206,2,-2892,15524,1572,32,-484,80
1216,2,-2892,15516,1500,24,-538,51
1226,2,-3032,15456,1616,8,-595,21
1236,2,-3016,15620,1596,-17,-622,-14
1246,2,-2864,15624,1388,-53,-597,-33
1256,2,-2728,15636,1624,-49,-544,-56
1266,2,-2624,15680,1656,-51,-424,-64
1276,2,-2592,15600,1744,-65,-306,-105
1286,2,-2552,15604,1804,-75,-200,-133
1296,2,-2608,15668,1628,-99,-130,-186
1306,2,-2700,15704,1636,-120,-105,-212
1316,2,-2720,15700,1484,-136,-151,-210
1326,2,-2740,15620,1596,-178,-183,-202
1336,2,-2720,15524,1660,-187,-187,-189
1346,2,-2544,15640,1424,-211,-199,-198
1356,2,-2612,15500,1412,-192,-237,-187
1366,2,-2456,15420,1512,-190,-265,-176
1376,2,-2324,15488,1580,-210,-280,-190
1386,2,-2472,15480,1312,-218,-302,-176
1396,2,-2512,15440,1296,-220,-351,-191
1406,2,-2636,15460,1260,-209,-428,-179
1416,2,-2708,15436,1344,-212,-529,-181
1426,2,-2712,15464,1392,-222,-631,-174
1436,2,-2880,15436,1268,-206,-794,-154
1446,2,-2736,15496,1492,-219,-932,-151
1456,2,-2532,15392,1404,-217,-924,-148
1466,2,-2348,15232,1256,-190,-881,-134
1476,2,-2024,15164,1184,-117,-780,-115
1486,2,-1964,15392,1452,-124,-628,-171
1496,2,-2268,15552,1652,-173,-510,-256
1506,2,-2624,15784,1840,-230,-408,-340
1516,2,-2940,15796,1892,-267,-330,-361
1526,2,-3116,15592,2096,-329,-283,-352
1536,2,-3272,15628,2076,-401,-326,-356
1546,2,-3064,15784,2296,-445,-395,-423
1556,2,-2772,15736,2820,-513,-246,-464
1566,2,-2744,15692,3284,-560,-3,-642
1576,2,-2672,15552,3348,-578,296,-845
1586,2,-2692,15404,2980,-590,625,-911
1596,2,-2864,15556,2936,-583,949,-875
1606,2,-3276,15596,2468,-639,1114,-881
1616,2,-3548,15656,2560,-719,1148,-932
1626,2,-3868,15716,2688,-854,1191,-1035
1636,2,-4180,15592,2832,-981,1276,-1163
1646,2,-4448,15604,3188,-1103,1408,-1264
1656,2,-4728,15644,3192,-1245,1558,-1383
1666,2,-4784,15620,2760,-1320,1633,-1557
1676,2,-5060,15648,2680,-1378,1672,-1728
1686,2,-5340,15720,2680,-1382,1700,-1911
1696,2,-5800,15944,2672,-1401,1565,-2174
1706,2,-6100,16180,3020,-1446,1311,-2421
1716,2,-6488,16372,3248,-1528,964,-2590
1726,2,-6764,16392,3996,-1665,554,-2734
1736,2,-6412,16524,4604,-1892,379,-2936
1746,2,-5800,16832,4964,-2116,586,-3090
1756,2,-5724,17104,5148,-2294,1004,-3304
1766,2,-4156,16680,4956,-2258,1848,-3120
1776,2,-5336,16512,4040,-2424,2537,-3595
1786,2,-4908,16576,4224,-2367,3054,-4068
1796,2,-5636,17184,3800,-2439,3534,-4851
1806,2,-7152,17340,3224,-2561,3113,-6162
1816,2,-7768,16940,3308,-2781,2273,-7024
1826,2,-7084,16356,3268,-2849,1868,-6904
1836,2,-7300,15820,2796,-2775,1597,-6870
1846,2,-8900,15616,2984,-2877,328,-7422
1856,2,-9276,13920,2100,-2671,-1644,-7946
1866,2,-7340,13736,732,-2855,-2995,-7640
1876,2,-6396,13848,1808,-3118,-3771,-7167
1886,2,-5888,13700,1888,-3179,-4338,-6753
1896,2,-5064,13404,2068,-3291,-4669,-6250
1906,2,-4780,13188,1376,-3456,-4826,-5670
1916,2,-5540,13048,1832,-3585,-4799,-5296
1926,2,-4616,11788,1748,-3416,-4192,-4864
1936,2,-2628,10912,1772,-3233,-2940,-4246
1946,2,-2780,11128,1980,-2831,-1647,-3860
1956,2,-3776,10932,2048,-2425,-394,-3898
1966,2,-4060,10476,2040,-2180,710,-3784
1976,2,-4256,10384,2184,-1934,1875,-3455
1986,2,-5132,10388,1960,-1594,2654,-3119
1996,2,-6268,10148,1704,-1243,2850,-2856
2006,2,-6596,9936,1260,-992,2897,-2623
2016,2,-6712,9928,1208,-788,2775,-2370
2026,2,-6752,9924,708,-586,2461,-2124
2036,2,-6884,9812,616,-392,1930,-1894
2046,2,-6956,9704,516,-237,1264,-1603
2056,2,-6928,9712,568,-121,508,-1307
2066,2,-6788,9644,804,30,-288,-974
2076,2,-6544,9728,1148,181,-1051,-641
2086,2,-6320,9752,1472,353,-1801,-294
2096,2,-6104,9860,1544,506,-2496,88
2106,2,-5708,10184,2292,652,-3104,454
2116,2,-5556,10216,2548,813,-3693,797
2126,2,-5424,10424,2700,968,-4228,1156
2136,2,-5260,10876,2624,1164,-4361,1531
2146,2,-4456,11376,2596,1368,-4185,1950
2156,2,-3676,12328,2752,1517,-3723,2406
2166,2,-3292,13320,3900,1536,-2985,2687
2176,2,-2412,14928,4292,1501,-1394,2782
2186,2,-3136,14776,6572,1360,-454,2511
2196,2,-4676,14568,6984,1459,99,2658
2206,2,-6616,14124,7212,1680,640,2929
2216,2,-7488,13500,6948,1812,543,3556
2226,2,-6200,13344,5488,1955,576,4332
2236,2,-3460,13508,4476,2254,1679,5045
2246,2,-2156,13860,3712,2668,3083,5440
2256,2,-3280,14320,3076,3082,3481,5457
2266,2,-5160,14608,3008,3287,2706,5377
2276,2,-6380,14564,3012,3265,1311,5630
2286,2,-6532,14676,2808,3145,-35,6023
2296,2,-5764,15088,2180,3052,-911,6325
2306,2,-4860,15380,2388,2988,-1245,6581
2316,2,-5044,15988,1920,2810,-1591,6401
2326,2,-4484,15984,2444,2851,-1720,6260
2336,2,-3780,15544,2008,2974,-642,6244
2346,2,-3396,15508,2032,3070,270,6374
2356,2,-3276,15488,1988,3230,1014,6704
2366,2,-3932,15820,1740,3230,1518,6760
2376,2,-4504,16052,1776,3162,1759,6460
2386,2,-4992,16188,1368,3124,1858,6162
2396,2,-5064,16064,1240,3117,1863,5931
2406,2,-5176,15708,1276,3138,1859,5596
2416,2,-5488,15508,1356,3169,1559,5240
2426,2,-5976,15684,1500,3083,1060,4836
2436,2,-6512,15700,1696,2935,327,4473
2446,2,-6812,15868,2040,2752,-519,4140
2456,2,-6644,15720,2404,2572,-1276,3826
2466,2,-6696,15352,2772,2405,-1895,3550
2476,2,-6656,15472,2920,2247,-2352,3276
2486,2,-6680,15332,3564,2089,-2662,2980
2496,2,-6748,15584,3756,1903,-2799,2619
2506,2,-6652,15476,4040,1745,-2883,2250
2516,2,-6588,15528,4040,1566,-2914,1986
2526,2,-6352,15644,4020,1372,-2598,1824
2536,2,-6008,15820,4012,1229,-2124,1700
2546,2,-5920,15964,4036,1010,-1661,1401
2556,2,-5888,16360,3884,761,-1346,928
2566,2,-5572,16328,3588,457,-1007,491
2576,2,-5164,15992,3252,223,-510,195
2586,2,-4864,15740,3008,77,103,-39
2596,2,-4892,15804,2864,-32,654,-405
2606,2,-5076,16312,3208,-253,1137,-914
2616,2,-5076,16720,3460,-532,1545,-1429
2626,2,-4852,16776,3832,-785,2003,-1963
2636,2,-4784,16756,3468,-1014,2395,-2555
2646,2,-4704,16748,3032,-1201,2854,-3066
2656,2,-4796,16724,2656,-1205,3094,-3394
2666,2,-5052,16904,2360,-1222,3307,-3631
2676,2,-5824,17040,2188,-1270,3530,-3878
2686,2,-6560,17148,1804,-1279,3497,-4246
2696,2,-7148,17264,2080,-1356,3120,-4745
2706,2,-6988,17308,2580,-1621,2799,-5187
2716,2,-6560,16960,2548,-1801,2705,-5383
2726,2,-7220,17564,2628,-2122,2056,-6271
2736,2,-7236,17352,2208,-2343,1219,-6985
2746,2,-7056,16884,1996,-2413,914,-7295
2756,2,-6852,16568,2292,-2484,898,-7401
2766,2,-6512,16220,2824,-2538,1277,-7215
2776,2,-6988,16428,2992,-2712,1258,-7627
2786,2,-6512,16996,3620,-3200,1652,-8080
2796,2,-4936,16696,3284,-3587,1612,-7949
2806,2,-5120,16904,3072,-3866,2410,-7938
2816,2,-6588,16456,2252,-3922,2731,-8121
2826,2,-8524,15820,1584,-3911,2261,-8420
2836,2,-9608,15780,1532,-3986,1702,-8569
2846,2,-10228,15744,1176,-4005,774,-8516
2856,2,-10068,14936,988,-3910,-408,-8413
2866,2,-7932,15080,1068,-4142,-1249,-7880
2876,2,-8044,14712,1688,-3862,-2613,-7670
2886,2,-5984,13752,1052,-3863,-3483,-7115
2896,2,-3524,13512,1804,-3989,-3750,-6134
2906,2,-4100,13960,2252,-3834,-3903,-5704
2916,2,-3508,13172,2240,-3576,-3532,-5531
2926,2,-1392,12680,1628,-3499,-2427,-5088
2936,2,-2412,12428,2644,-3091,-559,-5143
2946,2,-4660,11832,1772,-2526,204,-5370
2956,2,-7092,12524,2060,-2740,251,-5349
2966,2,-8596,12516,1312,-2557,-141,-5336
2976,2,-8784,11516,2536,-2635,-180,-5333
2986,2,-8804,10776,2848,-2592,-399,-5081
2996,2,-8452,10356,3040,-2500,-215,-4679
3006,2,-8636,9428,3936,-2343,89,-4462
3016,2,-8288,9924,2276,-2203,-26,-4434
3026,2,-7864,9212,2336,-2010,-141,-4044
3036,2,-7196,8900,1920,-1796,-19,-3540
3046,2,-6976,8776,2084,-1637,4,-3154
3056,2,-6680,8852,2080,-1440,-31,-2793
3066,2,-6516,8888,2224,-1270,138,-2380
3076,2,-6896,8956,2356,-1182,144,-2070
3086,2,-7368,8852,2288,-1100,-82,-1765
3096,2,-7588,9052,2188,-1004,-380,-1401
3106,2,-7728,9056,2096,-912,-714,-987
3116,2,-7704,9260,1700,-768,-1042,-571
3126,2,-7660,9312,1996,-606,-1275,-183
3136,2,-7520,9404,2244,-413,-1410,164
3146,2,-7136,9692,2244,-169,-1392,511
3156,2,-7008,10184,2356,61,-1340,747
3166,2,-7232,10220,2596,281,-1338,975
3176,2,-7308,10580,2808,494,-1252,1315
3186,2,-7528,11028,3056,683,-1194,1703
3196,2,-7628,11300,3132,846,-1234,2049
3206,2,-7788,11516,3216,991,-1357,2349
3216,2,-7288,11676,3876,1131,-1565,2738
3226,2,-7848,11372,3836,1271,-1779,2709
3236,2,-7104,11432,3904,1218,-2154,3012
3246,2,-6832,11636,4280,1235,-2036,3278
3256,2,-6616,11408,4080,1261,-1836,3537
3266,2,-6360,11448,4036,1293,-1504,3903
3276,2,-6356,11428,3600,1420,-1103,4217
