time_ms,label,ax,ay,az,gx,gy,gz
586,2,-448,16220,1256,-592,-541,-593
596,2,-524,16064,1188,-639,-395,-584
606,2,-460,15992,1120,-681,-285,-590
616,2,-620,15980,1044,-707,-224,-545
626,2,-724,15844,1044,-800,-139,-501
636,2,-744,15728,1108,-799,26,-436
646,2,-892,15480,716,-778,205,-374
656,2,-1088,15336,860,-755,417,-321
666,2,-1084,15152,452,-717,679,-254
676,2,-1220,15096,212,-658,853,-202
686,2,-1748,14968,56,-603,934,-139
696,2,-2084,14876,-100,-539,942,-69
706,2,-2408,14840,-76,-495,811,-11
716,2,-2620,14872,-256,-455,517,47
726,2,-2692,14948,-228,-411,151,104
736,2,-2764,15024,-204,-364,-219,161
746,2,-2752,15056,-380,-290,-606,222
756,2,-2776,15380,-476,-231,-921,286
766,2,-2668,15536,-148,-175,-1203,349
776,2,-2204,15604,-176,-85,-1368,423
786,2,-2060,15656,44,14,-1374,545
796,2,-2032,16100,0,63,-1384,466
806,2,-1812,16268,96,91,-1421,366
816,2,-1824,16228,288,141,-1381,296
826,2,-1896,16264,308,185,-1319,193
836,2,-1868,16376,732,234,-1265,82
846,2,-1968,16532,584,240,-1267,-32
856,2,-1912,16440,896,244,-1320,-166
866,2,-1976,16396,956,247,-1368,-279
876,2,-1780,16288,1128,236,-1381,-418
886,2,-1516,16208,1244,219,-1336,-523
896,2,-1464,16200,1184,174,-1162,-597
906,2,-1112,16380,1600,70,-1004,-708
916,2,-708,16132,1936,-27,-724,-634
926,2,-316,15728,1900,-89,-436,-475
936,2,-128,15772,2160,-187,-241,-314
946,2,-272,15808,1844,-291,-135,-172
956,2,-840,16000,1576,-369,-170,-129
966,2,-1312,15920,1348,-452,-376,-121
976,2,-1796,15796,1108,-517,-697,-94
986,2,-1888,15716,924,-597,-1054,-60
996,2,-1636,15824,968,-616,-1308,2
1006,2,-1040,15752,824,-652,-1203,71
1016,2,-596,15688,556,-581,-837,68
1026,2,-384,15632,576,-494,-344,23
1036,2,-696,15736,488,-410,177,-24
1046,2,-1004,15736,608,-342,532,-70
1056,2,-1500,15740,520,-320,627,-122
1066,2,-1968,15796,472,-323,575,-178
1076,2,-2228,15604,476,-312,396,-201
1086,2,-2260,15684,312,-307,149,-233
1096,2,-2324,15544,296,-278,-114,-222
1106,2,-2060,15536,292,-268,-366,-249
1116,2,-1924,15484,400,-233,-597,-262
1126,2,-1880,15428,384,-187,-761,-251
1136,2,-1560,15508,700,-166,-815,-229
1146,2,-1440,15632,740,-112,-756,-194
1156,2,-1252,15684,740,-80,-616,-140
1166,2,-1240,15800,824,-37,-496,-101
1176,2,-1272,15904,1000,-30,-400,-77
1186,2,-1448,15904,1008,-32,-398,-63
1196,2,-1452,15888,820,-45,-425,-62
1206,2,-1392,15988,1180,-72,-471,-66
1216,2,-1356,15972,1088,-87,-527,-65
1226,2,-1388,15968,1136,-95,-592,-57
1236,2,-1236,15800,1168,-123,-617,-63
1246,2,-1260,15856,1196,-142,-649,-69
1256,2,-1084,15936,1156,-158,-647,-82
1266,2,-1148,15992,1072,-164,-648,-75
1276,2,-1216,15936,1152,-190,-602,-95
1286,2,-1088,15948,1228,-195,-550,-102
1296,2,-1100,15916,1024,-176,-427,-103
1306,2,-1164,15900,832,-190,-339,-121
1316,2,-1076,15876,892,-173,-229,-138
1326,2,-1288,15896,848,-184,-170,-146
1336,2,-1264,15960,736,-177,-158,-173
1346,2,-1408,15864,820,-162,-178,-186
1356,2,-1384,15920,656,-178,-213,-193
1366,2,-1212,15932,664,-175,-220,-199
1376,2,-1244,15812,812,-180,-203,-194
1386,2,-1120,15784,724,-172,-190,-199
1396,2,-1264,15840,888,-162,-174,-208
1406,2,-1156,15876,992,-166,-110,-207
1416,2,-1224,15852,836,-146,-74,-182
1426,2,-1280,15880,1216,-147,-67,-175
1436,2,-1332,15860,1076,-147,-70,-176
1446,2,-1452,15816,1216,-161,15,-161
1456,2,-1324,15884,1428,-142,104,-175
1466,2,-1464,15968,1572,-149,161,-200
1476,2,-1456,16100,1900,-186,246,-221
1486,2,-1908,16112,1860,-284,188,-331
1496,2,-2072,16208,1972,-421,81,-363
1506,2,-2108,16196,2236,-510,83,-301
1516,2,-1924,16100,2044,-630,67,-339
1526,2,-1848,16216,2300,-741,106,-395
1536,2,-1984,16380,2568,-825,179,-429
1546,2,-2232,16448,2760,-965,187,-478
1556,2,-2448,16428,2812,-1142,187,-514
1566,2,-2420,16456,2732,-1316,112,-532
1576,2,-2376,16304,2732,-1461,90,-560
1586,2,-2220,16384,2772,-1595,122,-618
1596,2,-2136,16224,2956,-1725,207,-712
1606,2,-2252,16080,2740,-1814,266,-859
1616,2,-2124,15920,2696,-1871,345,-983
1626,2,-2208,15952,2564,-1909,455,-1077
1636,2,-2180,15924,2624,-1932,662,-1128
1646,2,-2176,16032,3176,-1978,897,-1212
1656,2,-2300,16344,3208,-2058,1190,-1396
1666,2,-2192,16360,2980,-2134,1518,-1719
1676,2,-2176,16408,2828,-2156,1807,-2053
1686,2,-2272,16284,2708,-2160,1997,-2308
1696,2,-2668,15972,2532,-2136,2082,-2450
1706,2,-2760,15852,2276,-2160,2086,-2486
1716,2,-2988,15732,2224,-2206,1952,-2541
1726,2,-2840,15696,2068,-2178,1791,-2584
1736,2,-3084,15868,2716,-2207,1628,-2593
1746,2,-3332,15876,3076,-2282,1566,-2670
1756,2,-3684,16012,3620,-2327,1407,-2853
1766,2,-3900,16288,3680,-2353,1270,-3146
1776,2,-4316,16332,3500,-2394,1064,-3386
1786,2,-4864,16268,3280,-2429,847,-3597
1796,2,-5276,16372,3440,-2431,540,-3880
1806,2,-5428,16576,3904,-2480,255,-4283
1816,2,-5980,16768,4432,-2496,90,-4822
1826,2,-6408,16944,4700,-2486,-226,-5347
1836,2,-6240,16780,4484,-2517,-716,-5742
1846,2,-6064,16596,4624,-2591,-1011,-5896
1856,2,-5840,16524,4716,-2691,-1168,-5917
1866,2,-5556,16360,4712,-2866,-1377,-5798
1876,2,-5296,16344,4856,-3003,-1257,-5593
1886,2,-5080,15840,5096,-3212,-835,-5412
