time_ms,label,ax,ay,az,gx,gy,gz
616,2,4224,-268,13504,-177,-106,-112
626,2,4156,-116,13392,-124,-139,-101
636,2,4008,-52,13216,-105,-186,-78
646,2,4080,-196,13384,-101,-226,-75
656,2,4164,-236,13508,-72,-258,-51
666,2,4160,-300,13284,-48,-258,-57
676,2,4192,-256,13416,-27,-236,-42
686,2,4304,-284,13416,-43,-192,-26
696,2,4332,-312,13292,-19,-144,-22
706,2,4292,-324,13500,-12,-87,-21
716,2,4192,-432,13676,9,-67,-41
726,2,4100,-520,13584,26,-67,-64
736,2,4032,-580,13740,19,-76,-85
746,2,3936,-452,13604,30,-123,-83
756,2,3776,-472,13796,9,-201,-93
766,2,3740,-308,13860,-20,-279,-133
776,2,3776,-316,13768,-62,-315,-154
786,2,3868,-340,13628,-103,-328,-160
796,2,4136,-496,13636,-109,-262,-180
806,2,4196,-260,13700,-138,-170,-178
816,2,4156,-344,13660,-162,-90,-213
826,2,4072,-352,13712,-175,-29,-231
836,2,4024,-228,13748,-193,-8,-264
846,2,3912,-428,13768,-201,-16,-274
856,2,3932,-408,13728,-192,-68,-281
866,2,3848,-468,13932,-203,-131,-299
876,2,3956,-336,13732,-205,-154,-304
886,2,4064,-468,13640,-214,-180,-306
896,2,4080,-300,13672,-218,-206,-321
906,2,4196,-408,13648,-224,-210,-355
916,2,4144,-420,13712,-216,-202,-352
926,2,4096,-352,13728,-217,-196,-361
936,2,4204,-140,13676,-219,-194,-361
946,2,4120,-172,13564,-221,-176,-348
956,2,4272,-276,13756,-233,-166,-351
966,2,4184,-200,13796,-221,-152,-321
976,2,4196,-184,13632,-242,-143,-294
986,2,4316,-124,13648,-267,-131,-257
996,2,4192,-200,13536,-259,-143,-231
1006,2,4232,-216,13704,-267,-143,-218
1016,2,4196,-92,13420,-250,-131,-189
1026,2,4144,-144,13600,-237,-116,-189
1036,2,4180,-152,13576,-218,-122,-188
1046,2,4180,-68,13680,-198,-109,-168
1056,2,4128,-164,13696,-213,-102,-137
1066,2,4068,-164,13512,-199,-93,-124
1076,2,4108,-260,13708,-164,-74,-110
1086,2,4132,-244,13444,-147,-95,-122
1096,2,4072,-428,13612,-122,-111,-139
1106,2,3968,-260,13648,-83,-132,-137
1116,2,4040,-368,13644,-78,-170,-138
1126,2,4024,-324,13548,-56,-217,-158
1136,2,3884,-236,13756,-76,-298,-165
1146,2,3928,-64,13740,-77,-321,-163
1156,2,3952,-224,13940,-111,-362,-163
1166,2,4112,-248,13860,-144,-378,-144
1176,2,4164,-180,13796,-185,-322,-107
1186,2,4276,-256,13708,-200,-222,-105
1196,2,4348,-368,13724,-232,-124,-108
1206,2,4216,-400,13784,-254,-42,-131
1216,2,4252,-348,13648,-245,-8,-131
1226,2,4156,-420,13592,-236,-31,-113
1236,2,3888,-380,13652,-243,-79,-119
1246,2,3972,-448,13684,-244,-140,-134
1256,2,3956,-532,13496,-230,-214,-137
1266,2,4072,-620,13532,-224,-235,-117
1276,2,4000,-488,13496,-197,-236,-143
1286,2,4060,-588,13556,-182,-210,-147
1296,2,4140,-476,13588,-147,-189,-179
1306,2,4024,-360,13524,-120,-166,-190
1316,2,4060,-500,13584,-107,-175,-197
1326,2,3984,-332,13524,-106,-198,-201
1336,2,3896,-316,13620,-88,-230,-188
1346,2,4016,-292,13696,-101,-256,-203
1356,2,4148,-328,13604,-102,-247,-185
1366,2,4268,-356,13540,-101,-219,-174
1376,2,4128,-316,13740,-119,-191,-166
1386,2,4196,-268,13572,-106,-126,-182
1396,2,4112,-204,13716,-101,-129,-179
1406,2,4128,-264,13852,-123,-154,-186
1416,2,4020,-256,13864,-132,-182,-201
1426,2,3872,-164,13660,-139,-227,-197
1436,2,4012,-292,13716,-140,-254,-175
1446,2,4104,-240,13516,-149,-249,-168
1456,2,4000,-176,13604,-163,-225,-165
1466,2,4072,-160,13652,-156,-206,-161
1476,2,4152,-228,13708,-152,-157,-172
1486,2,4164,-220,13720,-182,-105,-153
1496,2,3984,-268,13756,-191,-90,-151
1506,2,3880,-232,13600,-177,-99,-152
1516,2,4040,-360,13624,-158,-117,-152
1526,2,4012,-380,13644,-165,-144,-150
1536,2,4068,-420,13696,-145,-173,-144
1546,2,4072,-316,13472,-125,-209,-154
1556,2,4004,-304,13576,-124,-207,-157
1566,2,4060,-332,13768,-121,-194,-171
1576,2,4164,-252,13652,-111,-190,-161
1586,2,4140,-248,13560,-99,-220,-160
1596,2,4016,-364,13632,-107,-240,-149
1606,2,4008,-384,13576,-102,-265,-140
1616,2,4028,-316,13568,-113,-249,-108
1626,2,4156,-324,13592,-131,-251,-113
1636,2,4028,-292,13732,-121,-245,-108
1646,2,4088,-396,13788,-130,-230,-134
1656,2,4080,-344,13716,-145,-219,-123
1666,2,4000,-360,13720,-146,-213,-135
1676,2,3912,-404,13764,-145,-204,-144
1686,2,4080,-332,13716,-152,-219,-168
1696,2,4044,-224,13616,-162,-224,-145
1706,2,4056,-220,13644,-177,-219,-156
1716,2,4100,-436,13560,-181,-179,-162
1726,2,4164,-360,13516,-182,-154,-147
1736,2,4148,-528,13456,-166,-120,-141
1746,2,4144,-296,13536,-180,-108,-158
1756,2,3960,-388,13440,-176,-125,-172
1766,2,3988,-476,13580,-173,-155,-179
1776,2,3888,-556,13500,-161,-200,-183
1786,2,3880,-420,13748,-152,-224,-173
1796,2,3964,-320,13512,-147,-234,-153
1806,2,4124,-324,13508,-151,-226,-162
1816,2,4212,-348,13720,-151,-173,-166
1826,2,4204,-400,13668,-145,-121,-176
1836,2,4204,-336,13560,-136,-61,-172
1846,2,4156,-308,13764,-127,-57,-187
1856,2,3984,-284,13700,-116,-83,-201
1866,2,3880,-380,13840,-112,-132,-210
1876,2,3936,-236,13764,-104,-202,-227
1886,2,4084,-300,13880,-105,-253,-216
1896,2,4204,-284,13688,-129,-288,-213
1906,2,4300,-324,13688,-131,-251,-207
1916,2,4344,-248,13536,-145,-190,-190
1926,2,4316,-288,13660,-136,-114,-175
1936,2,4352,-384,13616,-143,-72,-166
1946,2,4148,-392,13708,-144,-67,-169
1956,2,3940,-404,13800,-142,-107,-155
1966,2,3936,-312,13556,-137,-183,-156
1976,2,3884,-320,13736,-150,-246,-145
1986,2,4032,-236,13584,-147,-275,-145
1996,2,4140,-280,13440,-166,-261,-151
2006,2,4080,-232,13648,-178,-206,-130
2016,2,4168,-268,13492,-180,-156,-153
2026,2,4156,-312,13736,-196,-94,-162
2036,2,3928,-416,13688,-176,-72,-183
2046,2,4036,-352,13812,-178,-70,-194
2056,2,3828,-368,13664,-159,-98,-214
2066,2,3824,-284,13600,-145,-142,-220
2076,2,3984,-340,13464,-142,-150,-238
2086,2,3932,-400,13612,-135,-131,-231
2096,2,3896,-476,13756,-120,-131,-237
2106,2,3980,-368,13580,-103,-103,-254
2116,2,3864,-420,13748,-93,-126,-275
2126,2,3720,-412,13900,-88,-170,-324
2136,2,3716,-344,14004,-92,-218,-347
2146,2,3644,-208,14228,-128,-298,-394
2156,2,3796,-308,14476,-175,-321,-422
2166,2,3912,40,15028,-294,-221,-421
2176,2,4376,352,15516,-535,-70,-365
2186,2,4556,488,15996,-852,85,-265
2196,2,32767,32767,-32768,-6393,32767,-241
2206,2,1236,-17084,24052,4081,-6799,707
2216,2,-17932,4276,13336,2395,6183,-1244
2226,2,11732,10108,14408,-470,1736,-1561
2236,2,620,-4336,17740,235,-1142,-1034
2246,2,228,-3844,16148,583,-235,893
2256,2,4668,500,15700,32,-521,1301
2266,2,5504,1140,15552,-136,-912,318
2276,2,5168,-268,14880,-51,-891,-358
2286,2,5800,-896,13804,105,-397,-359
2296,2,5688,-980,13568,93,612,-54
2306,2,4588,-496,14376,71,1142,249
2316,2,3456,-124,15336,22,1079,399
2326,2,2404,440,16320,-173,703,416
2336,2,2208,648,17104,-423,42,401
2346,2,2084,1256,16784,-686,-524,291
2356,2,2232,276,16528,-884,-1151,160
2366,2,3132,-304,15676,-1000,-1655,135
2376,2,5660,-296,14560,-1134,-1369,110
2386,2,6132,-296,13976,-1132,-830,29
2396,2,5468,-836,13544,-1033,-272,-23
2406,2,4768,-712,13416,-926,204,-29
2416,2,4296,-380,13336,-852,525,27
2426,2,3740,-236,13168,-746,586,117
2436,2,3124,-436,12924,-696,469,147
2446,2,2520,-656,12784,-597,176,133
2456,2,2196,-744,12540,-506,-205,140
2466,2,2300,-1036,12580,-366,-580,136
2476,2,2508,-996,12492,-211,-859,137
2486,2,2596,-948,12664,-100,-1018,107
2496,2,2680,-852,12768,10,-1106,38
2506,2,2856,-788,12904,90,-1126,-39
2516,2,2860,-552,12880,159,-1076,-98
2526,2,2880,-448,12840,194,-982,-148
2536,2,2768,-440,12776,225,-901,-191
2546,2,2920,-384,12828,256,-835,-264
2556,2,2856,-352,12896,254,-744,-329
2566,2,2884,-456,13260,272,-691,-427
2576,2,2904,-416,13416,307,-677,-524
2586,2,3012,-524,13608,330,-686,-600
2596,2,2988,-380,13680,310,-707,-643
2606,2,3308,-232,13664,274,-731,-644
2616,2,3520,-392,13608,211,-695,-610
2626,2,3820,-444,13736,186,-634,-602
2636,2,4072,-608,13676,155,-528,-596
2646,2,4196,-752,13632,149,-408,-572
2656,2,4396,-684,13944,152,-302,-552
2666,2,4464,-636,14060,120,-193,-545
2676,2,4440,-552,14220,77,-152,-544
2686,2,4240,-480,14348,32,-180,-535
2696,2,3984,-372,14240,-12,-270,-536
2706,2,3972,-416,14312,-64,-438,-532
2716,2,4204,-344,14108,-105,-546,-457
2726,2,4404,-444,14088,-131,-572,-422
2736,2,4580,-456,14192,-185,-565,-364
2746,2,4620,-572,14052,-188,-500,-327
2756,2,4592,-604,14068,-186,-428,-292
2766,2,4536,-468,14100,-185,-374,-266
2776,2,4376,-320,14060,-207,-322,-234
2786,2,4144,-44,14220,-214,-356,-222
2796,2,3924,104,14032,-243,-407,-215
2806,2,3820,180,13896,-277,-472,-227
2816,2,3916,76,13872,-293,-512,-209
2826,2,3944,216,13644,-319,-479,-211
2836,2,4076,24,13704,-343,-436,-212
2846,2,4220,-144,13628,-357,-372,-229
2856,2,4092,-228,13600,-344,-312,-252
2866,2,3952,-196,13532,-328,-286,-267
2876,2,3756,-268,13628,-335,-302,-283
2886,2,3724,-156,13596,-318,-330,-296
2896,2,3776,-248,13544,-356,-349,-282
2906,2,3828,-312,13392,-379,-382,-287
2916,2,3928,-620,13280,-384,-377,-296
2926,2,3964,-752,13224,-404,-363,-296
2936,2,3928,-696,13308,-390,-304,-322
2946,2,3764,-828,13528,-378,-280,-325
2956,2,3872,-756,13524,-374,-277,-356
2966,2,3880,-792,13404,-366,-274,-374
2976,2,3844,-872,13604,-367,-283,-385
2986,2,3860,-832,13500,-356,-288,-402
2996,2,3724,-776,13700,-349,-305,-392
3006,2,3748,-664,13668,-364,-322,-380
3016,2,3852,-312,13604,-382,-327,-371
3026,2,4056,-368,13628,-391,-323,-368
3036,2,4104,-240,13584,-390,-286,-378
3046,2,4252,-252,13636,-407,-237,-381
3056,2,4212,-272,13692,-407,-186,-375
3066,2,4316,-264,13688,-398,-116,-371
3076,2,4256,-324,13820,-376,-89,-332
3086,2,4320,-204,13576,-351,-110,-308
3096,2,4272,-176,13632,-344,-130,-270
3106,2,4424,-116,13404,-321,-157,-249
3116,2,4484,-216,13508,-308,-146,-256
3126,2,4492,-252,13656,-270,-105,-223
3136,2,4640,-252,13420,-220,-46,-209
3146,2,4656,-496,13328,-187,-11,-183
3156,2,4464,-604,13252,-138,13,-178
3166,2,4376,-540,13384,-94,8,-153
3176,2,4228,-596,13376,-50,-6,-137
3186,2,4196,-648,13464,8,-72,-94
3196,2,4164,-648,13348,27,-148,-74
3206,2,4240,-592,13324,71,-188,-43
3216,2,4340,-796,13428,96,-215,-30
3226,2,4224,-712,13316,124,-185,-3
3236,2,4200,-880,13380,161,-179,-29
3246,2,4000,-800,13400,167,-164,-39
3256,2,4116,-792,13364,160,-185,13
3266,2,3896,-928,13716,164,-206,-8
