time_ms,label,ax,ay,az,gx,gy,gz
596,2,5216,-252,13156,-405,9,-43
606,2,5324,-256,13256,-368,42,-57
616,2,5376,-368,13048,-305,96,-66
626,2,5216,-360,13268,-267,136,-71
636,2,5104,-472,13228,-209,161,-73
646,2,4884,-404,13120,-132,129,-58
656,2,4700,-356,13268,-78,27,-53
666,2,4548,-260,13480,-49,-98,-75
676,2,4584,-100,13572,-22,-233,-99
686,2,4672,68,13532,-11,-277,-86
696,2,4820,4,13564,2,-285,-74
706,2,4980,80,13420,24,-244,-58
716,2,4980,136,13428,20,-162,-51
726,2,4984,152,13440,15,-27,-43
736,2,5064,192,13464,1,104,-47
746,2,5008,200,13440,-8,197,-51
756,2,4916,248,13608,7,275,-53
766,2,4792,288,13444,-3,297,-68
776,2,4640,296,13628,-6,269,-57
786,2,4572,260,13568,-37,215,-59
796,2,4536,320,13336,-49,134,-50
806,2,4684,236,13428,-72,-16,-55
816,2,4664,296,13496,-81,-95,-52
826,2,4620,184,13512,-101,-138,-51
836,2,4612,312,13548,-97,-175,-82
846,2,4860,348,13612,-114,-168,-96
856,2,4832,224,13444,-107,-131,-133
866,2,4800,52,13628,-97,-99,-153
876,2,4752,208,13712,-139,-63,-186
886,2,4672,236,13832,-133,-98,-197
896,2,4560,336,13712,-183,-138,-227
906,2,4660,264,13808,-206,-181,-232
916,2,4576,132,13612,-241,-247,-225
926,2,4736,36,13664,-250,-274,-203
936,2,4872,136,13624,-260,-275,-200
946,2,4924,-56,13556,-290,-297,-205
956,2,4956,-48,13488,-276,-247,-213
966,2,5040,-20,13696,-285,-209,-211
976,2,4896,84,13436,-279,-173,-214
986,2,4808,212,13676,-312,-173,-228
996,2,4736,232,13528,-331,-172,-236
1006,2,4884,44,13524,-363,-159,-222
1016,2,4720,60,13436,-379,-155,-205
1026,2,4716,16,13412,-383,-142,-214
1036,2,4704,-20,13376,-357,-127,-210
1046,2,4552,8,13484,-355,-130,-226
1056,2,4592,-48,13552,-352,-159,-243
1066,2,4520,20,13512,-331,-210,-247
1076,2,4652,184,13480,-348,-217,-254
1086,2,4656,104,13504,-320,-228,-249
1096,2,4692,152,13280,-327,-215,-275
1106,2,4648,52,13404,-302,-230,-314
1116,2,4716,148,13524,-301,-246,-319
1126,2,4664,136,13468,-293,-287,-343
1136,2,4616,204,13580,-313,-331,-353
1146,2,4632,120,13508,-311,-362,-371
1156,2,4808,124,13448,-323,-352,-364
1166,2,4880,84,13404,-322,-321,-365
1176,2,4880,-88,13460,-314,-280,-349
1186,2,4932,-96,13424,-296,-209,-340
1196,2,5064,-112,13448,-312,-161,-335
1206,2,4996,-100,13488,-312,-114,-311
1216,2,5008,-52,13456,-289,-80,-291
1226,2,4996,-92,13508,-297,-63,-262
1236,2,4868,-28,13424,-310,-95,-243
1246,2,4828,8,13424,-311,-132,-223
1256,2,4772,20,13580,-335,-151,-236
1266,2,4944,-36,13344,-328,-173,-219
1276,2,5016,-124,13596,-326,-202,-230
1286,2,5036,-132,13644,-334,-208,-199
1296,2,4984,20,13488,-325,-205,-194
1306,2,4924,0,13356,-327,-209,-184
1316,2,5192,-156,13284,-298,-175,-168
1326,2,4996,-76,13516,-321,-157,-155
1336,2,4912,-44,13476,-319,-143,-129
1346,2,4808,-76,13440,-303,-131,-131
1356,2,4916,-56,13400,-296,-117,-123
1366,2,4996,-216,13400,-270,-110,-122
1376,2,4768,-240,13396,-250,-120,-134
1386,2,4696,-228,13292,-232,-128,-141
1396,2,4720,-156,13568,-217,-150,-150
1406,2,4652,-168,13360,-219,-207,-163
1416,2,4640,-232,13292,-201,-246,-173
1426,2,4716,-288,13452,-179,-263,-175
1436,2,4704,-304,13376,-157,-252,-174
1446,2,4884,-340,13436,-148,-231,-164
1456,2,4984,-360,13304,-131,-187,-167
1466,2,5004,-248,13472,-143,-110,-151
1476,2,4844,-264,13544,-131,-74,-146
1486,2,4688,-284,13396,-130,-48,-154
1496,2,4576,-376,13448,-129,-58,-157
1506,2,4624,-272,13484,-128,-76,-148
1516,2,4680,-308,13528,-139,-107,-144
1526,2,4716,-268,13436,-142,-116,-123
1536,2,4732,-304,13504,-150,-126,-124
1546,2,4656,-284,13444,-159,-129,-121
1556,2,4780,-280,13536,-156,-119,-113
1566,2,4692,-256,13500,-166,-136,-115
1576,2,4836,-256,13488,-161,-149,-114
1586,2,4680,-220,13576,-162,-119,-110
1596,2,4684,-204,13564,-164,-96,-99
1606,2,4852,-232,13412,-159,-72,-113
1616,2,4652,-164,13520,-162,-58,-118
1626,2,4656,-212,13576,-181,-52,-138
1636,2,4612,-276,13716,-184,-76,-139
1646,2,4708,-164,13720,-171,-83,-147
1656,2,4604,-120,13648,-177,-135,-147
1666,2,4604,-56,13548,-180,-164,-155
1676,2,4656,-176,13456,-182,-171,-174
1686,2,4748,-228,13452,-174,-183,-158
1696,2,4652,-292,13432,-163,-190,-159
1706,2,4716,-220,13588,-151,-194,-162
1716,2,4684,-208,13344,-148,-195,-171
1726,2,4676,-152,13520,-120,-191,-183
1736,2,4708,-32,13416,-116,-208,-192
1746,2,4592,-60,13488,-121,-198,-202
1756,2,4640,-108,13496,-139,-230,-201
1766,2,4676,-200,13624,-132,-215,-207
1776,2,4696,-88,13524,-144,-194,-211
1786,2,4792,-228,13460,-157,-175,-220
1796,2,4696,-148,13484,-146,-166,-222
1806,2,4772,-196,13360,-148,-155,-225
1816,2,4720,-244,13364,-134,-158,-233
1826,2,4624,-164,13504,-133,-138,-231
1836,2,4636,-204,13464,-130,-117,-234
1846,2,4792,-240,13520,-123,-138,-246
1856,2,4736,-228,13676,-132,-147,-244
1866,2,4696,-224,13428,-137,-154,-237
1876,2,4688,-168,13472,-135,-164,-238
1886,2,4636,0,13488,-147,-169,-211
1896,2,4624,-12,13652,-167,-181,-209
1906,2,4536,-68,13404,-144,-199,-197
1916,2,4708,-272,13428,-154,-206,-198
1926,2,4764,-180,13496,-117,-198,-192
1936,2,4836,-256,13384,-105,-176,-210
1946,2,4780,-280,13332,-98,-120,-219
1956,2,4776,-312,13480,-89,-66,-214
1966,2,4680,-296,13524,-77,-30,-220
1976,2,4792,-164,13544,-67,-22,-214
1986,2,4656,-152,13256,-48,-35,-233
1996,2,4676,-216,13404,-44,-57,-228
2006,2,4508,-240,13516,-32,-96,-231
2016,2,4432,-144,13576,-54,-158,-222
2026,2,4372,4,13648,-33,-211,-217
2036,2,4560,16,13576,-67,-258,-215
2046,2,4636,-92,13696,-93,-239,-218
2056,2,4680,88,13700,-100,-179,-218
2066,2,4664,-44,13660,-104,-138,-236
2076,2,4680,32,13688,-125,-99,-258
2086,2,4772,4,13500,-157,-57,-253
2096,2,4544,-156,13780,-172,-39,-278
2106,2,4576,-176,13920,-156,-74,-267
2116,2,4568,-108,13772,-184,-135,-259
