time_ms,label,ax,ay,az,gx,gy,gz
586,2,3776,488,13920,-406,-64,-86
596,2,3720,664,13908,-395,-111,-102
606,2,3808,724,13964,-346,-110,-114
616,2,3852,752,13820,-354,-151,-107
626,2,3860,876,13896,-336,-166,-83
636,2,4060,908,13964,-307,-157,-54
646,2,3968,1020,13812,-318,-130,-25
656,2,4144,1000,13924,-284,-136,-20
666,2,4052,1004,13992,-255,-123,-24
676,2,3968,1008,13864,-211,-104,-47
686,2,3856,832,13868,-179,-148,-39
696,2,3784,1052,13944,-169,-200,-36
706,2,3764,1020,14012,-151,-255,-29
716,2,3856,904,13792,-135,-309,-13
726,2,3772,840,13892,-119,-308,11
736,2,3828,824,13804,-119,-357,36
746,2,3880,868,13804,-119,-404,57
756,2,4048,712,13868,-107,-402,79
766,2,4040,836,13596,-70,-396,82
776,2,4176,668,13696,-75,-383,94
786,2,4120,588,13456,-51,-330,108
796,2,4080,576,13600,-52,-313,96
806,2,4092,584,13648,-53,-306,95
816,2,4012,608,13592,-43,-267,116
826,2,4008,604,13724,-43,-232,116
836,2,3824,492,13632,-40,-211,111
846,2,3940,440,13432,-61,-215,112
856,2,3884,312,13700,-66,-246,115
866,2,3932,348,13492,-66,-277,114
876,2,3984,264,13400,-56,-258,110
886,2,4000,360,13620,-41,-256,98
896,2,3932,380,13544,-34,-259,81
906,2,4036,400,13492,-47,-250,71
916,2,4004,476,13532,-54,-250,67
926,2,3980,456,13736,-58,-209,67
936,2,3968,448,13644,-66,-189,50
946,2,4000,560,13544,-71,-162,38
956,2,3876,540,13572,-78,-117,21
966,2,3916,440,13472,-98,-115,4
976,2,3964,468,13672,-109,-111,-27
986,2,4064,640,13556,-128,-102,-41
996,2,3996,500,13660,-151,-105,-37
1006,2,4024,416,13676,-166,-127,-23
1016,2,3980,420,13624,-193,-129,-34
1026,2,4016,248,13432,-182,-110,-16
1036,2,3980,276,13848,-202,-86,-33
1046,2,4048,284,13720,-196,-47,-57
1056,2,4104,408,13856,-191,-35,-68
1066,2,3984,356,13716,-194,-40,-96
1076,2,3776,404,13744,-189,-52,-101
1086,2,3880,420,13492,-205,-108,-95
1096,2,3828,412,13748,-224,-143,-109
1106,2,3860,392,13772,-233,-161,-100
1116,2,3864,344,13800,-242,-189,-114
1126,2,3940,344,13964,-220,-159,-125
1136,2,4012,228,13816,-232,-115,-138
1146,2,4020,232,13796,-226,-76,-143
1156,2,3900,288,13836,-197,-93,-151
1166,2,3812,376,13796,-213,-119,-165
1176,2,3588,388,13828,-230,-148,-188
1186,2,3588,344,13876,-233,-194,-190
1196,2,3688,428,13680,-263,-238,-187
1206,2,3740,340,13600,-251,-251,-189
1216,2,3832,292,13820,-267,-253,-202
1226,2,3912,300,13916,-263,-242,-213
1236,2,3876,408,13692,-252,-194,-211
1246,2,3736,284,13924,-261,-179,-230
1256,2,3732,380,13816,-286,-191,-221
1266,2,3824,508,13684,-300,-217,-202
1276,2,3968,460,13816,-309,-228,-179
1286,2,4032,484,13616,-340,-225,-154
1296,2,4096,364,13848,-343,-201,-159
1306,2,3952,476,13672,-350,-174,-153
1316,2,4008,312,13640,-341,-150,-161
1326,2,3864,344,13796,-322,-166,-154
1336,2,3832,396,13660,-343,-191,-143
1346,2,3856,288,13700,-307,-218,-131
1356,2,3996,376,13604,-308,-213,-135
1366,2,4000,308,13640,-293,-205,-147
1376,2,4072,344,13664,-297,-187,-151
1386,2,3924,456,13728,-296,-146,-160
1396,2,3968,336,13760,-270,-155,-176
1406,2,3832,268,13856,-255,-178,-180
1416,2,3880,200,13712,-235,-190,-191
1426,2,3900,264,13660,-228,-220,-216
1436,2,3984,292,13588,-188,-226,-246
1446,2,3872,352,13740,-192,-224,-251
1456,2,3932,348,13712,-206,-226,-264
1466,2,3960,224,13748,-200,-209,-256
1476,2,4088,344,13628,-221,-205,-231
1486,2,4120,324,13688,-242,-177,-226
1496,2,4128,228,13460,-255,-140,-210
1506,2,4140,248,13532,-262,-82,-198
1516,2,4060,268,13604,-241,-41,-191
1526,2,3992,192,13656,-236,-41,-167
1536,2,3852,188,13644,-216,-85,-170
1546,2,3804,96,13832,-197,-146,-152
1556,2,3944,176,13548,-194,-216,-139
1566,2,3812,276,13736,-209,-266,-101
1576,2,3912,312,13868,-201,-281,-70
1586,2,4164,292,13708,-206,-279,-57
1596,2,4256,204,13780,-202,-217,-59
1606,2,4224,264,13820,-197,-158,-58
1616,2,4028,244,13728,-177,-133,-74
1626,2,4044,356,13788,-156,-137,-90
