time_ms,label,ax,ay,az,gx,gy,gz
566,2,3792,52,13664,-107,-181,-131
576,2,3780,144,14060,-131,-267,-101
586,2,3896,196,13796,-157,-299,-89
596,2,3932,164,13920,-165,-343,-76
606,2,4044,116,13664,-165,-305,-50
616,2,4116,208,13820,-204,-238,-41
626,2,4068,12,13824,-206,-173,-36
636,2,4012,28,13900,-215,-126,-44
646,2,4028,56,13616,-200,-117,-66
656,2,3880,136,13780,-209,-124,-75
666,2,3852,52,13732,-185,-186,-81
676,2,3844,-24,13652,-209,-243,-77
686,2,3872,64,13712,-201,-279,-84
696,2,4228,-88,13660,-184,-296,-97
706,2,3916,-68,13596,-164,-284,-95
716,2,4020,-76,13576,-155,-251,-117
726,2,4056,-192,13464,-114,-228,-130
736,2,4200,-140,13452,-100,-224,-147
746,2,3992,-196,13604,-63,-237,-166
756,2,3968,-92,13584,-50,-283,-175
766,2,3944,56,13544,-41,-334,-185
776,2,4120,56,13436,-55,-383,-177
786,2,4240,0,13608,-40,-368,-188
796,2,4232,8,13504,-57,-348,-186
806,2,4144,-16,13700,-71,-313,-174
816,2,4244,104,13656,-87,-273,-163
826,2,4188,112,13744,-108,-263,-152
836,2,4136,148,13776,-132,-228,-132
846,2,4040,124,13744,-149,-211,-126
856,2,4132,112,13736,-161,-199,-127
866,2,4108,80,13808,-184,-189,-129
876,2,4108,108,13924,-194,-183,-136
886,2,4100,200,13880,-203,-180,-135
896,2,4136,144,13756,-216,-187,-121
906,2,4104,84,13908,-234,-211,-113
916,2,4208,84,13680,-253,-231,-116
926,2,4216,188,13788,-253,-223,-119
936,2,4228,216,13644,-241,-252,-128
946,2,4240,0,13576,-249,-249,-156
956,2,4316,120,13524,-228,-233,-152
966,2,4392,140,13592,-216,-193,-139
976,2,4384,116,13428,-221,-184,-127
986,2,4364,0,13596,-206,-203,-128
996,2,4244,84,13384,-206,-216,-107
1006,2,4332,36,13696,-188,-231,-100
1016,2,4268,64,13504,-185,-241,-83
1026,2,4312,-40,13380,-159,-229,-75
1036,2,4208,-112,13464,-143,-251,-92
1046,2,4152,-92,13724,-125,-243,-85
1056,2,4264,68,13708,-134,-265,-92
1066,2,4200,104,13572,-132,-272,-64
1076,2,4184,112,13520,-173,-273,-47
1086,2,4268,24,13704,-178,-273,-42
1096,2,4320,140,13428,-193,-238,-35
1106,2,4252,0,13552,-199,-173,-30
1116,2,4236,0,13480,-226,-154,-23
1126,2,4100,20,13600,-215,-91,-31
1136,2,4096,-192,13704,-224,-67,-36
1146,2,4056,-184,13528,-192,-93,-61
1156,2,3992,-192,13624,-183,-115,-82
1166,2,3928,-236,13672,-184,-144,-101
1176,2,3980,-256,13656,-170,-181,-119
1186,2,4012,-212,13840,-169,-196,-104
1196,2,4128,-188,13736,-149,-207,-111
1206,2,4072,20,13564,-153,-197,-119
1216,2,4160,-80,13772,-150,-178,-135
1226,2,4132,-40,13684,-176,-171,-161
1236,2,4104,-36,13688,-184,-165,-191
1246,2,4080,124,13824,-218,-181,-201
1256,2,4092,108,13920,-230,-213,-225
1266,2,4068,180,13836,-237,-238,-222
1276,2,4132,136,13856,-279,-258,-219
1286,2,4200,120,13700,-288,-236,-212
1296,2,4352,32,13600,-295,-190,-183
1306,2,4428,0,13576,-305,-120,-176
1316,2,4396,-40,13440,-303,-66,-150
1326,2,4304,-60,13556,-292,-30,-125
1336,2,4136,12,13600,-269,-36,-126
1346,2,4152,-144,13652,-244,-53,-133
1356,2,4172,-192,13528,-231,-98,-133
1366,2,4104,-184,13500,-192,-175,-128
1376,2,4124,8,13592,-182,-233,-136
1386,2,4132,-12,13604,-150,-270,-114
1396,2,4164,-36,13584,-142,-267,-107
1406,2,4128,-120,13500,-118,-275,-99
1416,2,4216,-140,13524,-94,-249,-91
1426,2,4112,-56,13536,-78,-211,-76
1436,2,4060,20,13576,-79,-153,-90
1446,2,4012,12,13464,-78,-147,-102
1456,2,3984,40,13352,-72,-122,-118
1466,2,3876,-44,13704,-53,-127,-146
1476,2,3788,36,13704,-56,-176,-154
1486,2,3924,12,13692,-62,-231,-169
1496,2,3984,-80,13588,-66,-243,-162
1506,2,4048,52,13668,-71,-245,-152
1516,2,4112,-80,13732,-100,-215,-135
1526,2,4192,-12,13728,-103,-178,-129
1536,2,4244,-8,13472,-103,-123,-115
1546,2,4200,-132,13816,-119,-86,-127
1556,2,4152,-28,13780,-125,-70,-144
1566,2,4084,40,13720,-126,-80,-174
1576,2,3956,-136,13640,-112,-128,-192
1586,2,3972,-12,13724,-122,-190,-221
1596,2,4012,-136,13700,-137,-257,-218
1606,2,4164,-56,13632,-151,-275,-202
1616,2,4260,-44,13684,-177,-274,-187
1626,2,4372,-88,13652,-175,-239,-160
1636,2,4308,-56,13708,-194,-199,-141
1646,2,4376,-72,13732,-214,-127,-137
1656,2,4308,-44,13828,-208,-101,-153
1666,2,4164,-28,13848,-211,-67,-158
1676,2,4044,-144,13724,-198,-94,-163
1686,2,4004,-84,13692,-205,-149,-154
1696,2,4072,-76,13512,-197,-204,-155
1706,2,4100,-32,13612,-196,-256,-140
1716,2,4120,-112,13720,-198,-251,-122
1726,2,4308,-132,13704,-194,-217,-114
1736,2,4332,-152,13572,-182,-165,-110
